"survey_id","location","site_code","site_name","latitude","longitude","survey_year","taxon","survey.mean"
"812300134","Batemans","BMP-S13","Broulee North",-35.85507,150.19207,"2006","Ecklonia radiata",0
"812300141","Batemans","BMP-S14","West Longnose Point",-35.83457,150.20885,"2006","Ecklonia radiata",10.4
"812300142","Batemans","BMP-S14","West Longnose Point",-35.83457,150.20885,"2006","Ecklonia radiata",51.6
"812300143","Batemans","BMP-S14","West Longnose Point",-35.83457,150.20885,"2006","Ecklonia radiata",60
"812300144","Batemans","BMP-S14","West Longnose Point",-35.83457,150.20885,"2006","Ecklonia radiata",48.8
"812300151","Batemans","BMP-S15","Burrewarra Point",-35.83132,150.23347,"2006","Ecklonia radiata",0
"812300152","Batemans","BMP-S15","Burrewarra Point",-35.83132,150.23347,"2006","Ecklonia radiata",0
"812300153","Batemans","BMP-S15","Burrewarra Point",-35.83132,150.23347,"2006","Ecklonia radiata",0
"812300154","Batemans","BMP-S15","Burrewarra Point",-35.83132,150.23347,"2006","Ecklonia radiata",0
"812300161","Batemans","BMP-S16","Jimmies Island",-35.81672,150.2343,"2006","Ecklonia radiata",0
"812300162","Batemans","BMP-S16","Jimmies Island",-35.81672,150.2343,"2006","Ecklonia radiata",0
"812300163","Batemans","BMP-S16","Jimmies Island",-35.81672,150.2343,"2006","Ecklonia radiata",0
"812300164","Batemans","BMP-S16","Jimmies Island",-35.81672,150.2343,"2006","Ecklonia radiata",0
"812300171","Batemans","BMP-S17","Pretty Point",-35.80453,150.23347,"2006","Ecklonia radiata",20
"812300172","Batemans","BMP-S17","Pretty Point",-35.80453,150.23347,"2006","Ecklonia radiata",4.8
"812300173","Batemans","BMP-S17","Pretty Point",-35.80453,150.23347,"2006","Ecklonia radiata",4
"812300174","Batemans","BMP-S17","Pretty Point",-35.80453,150.23347,"2006","Ecklonia radiata",0
"812300181","Batemans","BMP-S18","Yellow Rock",-35.72811,150.2645,"2006","Ecklonia radiata",0
"812300182","Batemans","BMP-S18","Yellow Rock",-35.72811,150.2645,"2006","Ecklonia radiata",0
"812300183","Batemans","BMP-S18","Yellow Rock",-35.72811,150.2645,"2006","Ecklonia radiata",0
"812300184","Batemans","BMP-S18","Yellow Rock",-35.72811,150.2645,"2006","Ecklonia radiata",0
"812300191","Batemans","BMP-S19","North Head",-35.72235,150.27454,"2006","Ecklonia radiata",0
"812300192","Batemans","BMP-S19","North Head",-35.72235,150.27454,"2006","Ecklonia radiata",1.2
"812300193","Batemans","BMP-S19","North Head",-35.72235,150.27454,"2006","Ecklonia radiata",1.6
"812300194","Batemans","BMP-S19","North Head",-35.72235,150.27454,"2006","Ecklonia radiata",0
"812300201","Batemans","BMP-S20","Acron Ledge",-35.7203,150.24789,"2006","Ecklonia radiata",10.4
"812300202","Batemans","BMP-S20","Acron Ledge",-35.7203,150.24789,"2006","Ecklonia radiata",0
"812300203","Batemans","BMP-S20","Acron Ledge",-35.7203,150.24789,"2006","Ecklonia radiata",0
"812300204","Batemans","BMP-S20","Acron Ledge",-35.7203,150.24789,"2006","Ecklonia radiata",0
"812300211","Batemans","BMP-S21","Pretty Point North",-35.80019,150.2369,"2006","Ecklonia radiata",0
"812300212","Batemans","BMP-S21","Pretty Point North",-35.80019,150.2369,"2006","Ecklonia radiata",0
"812300213","Batemans","BMP-S21","Pretty Point North",-35.80019,150.2369,"2006","Ecklonia radiata",0
"812300214","Batemans","BMP-S21","Pretty Point North",-35.80019,150.2369,"2006","Ecklonia radiata",0
"812300221","Batemans","BMP-S22","Garden Point",-35.78389,150.23465,"2006","Ecklonia radiata",17.2
"812300222","Batemans","BMP-S22","Garden Point",-35.78389,150.23465,"2006","Ecklonia radiata",48
"812300223","Batemans","BMP-S22","Garden Point",-35.78389,150.23465,"2006","Ecklonia radiata",47.6
"812300224","Batemans","BMP-S22","Garden Point",-35.78389,150.23465,"2006","Ecklonia radiata",6
"812300231","Batemans","BMP-S23","Lilly Pilly North",-35.77133,150.23296,"2006","Ecklonia radiata",0
"812300232","Batemans","BMP-S23","Lilly Pilly North",-35.77133,150.23296,"2006","Ecklonia radiata",2
"812300233","Batemans","BMP-S23","Lilly Pilly North",-35.77133,150.23296,"2006","Ecklonia radiata",0
"812300234","Batemans","BMP-S23","Lilly Pilly North",-35.77133,150.23296,"2006","Ecklonia radiata",5.2
"812300241","Batemans","BMP-S24","Bingi Bingi Point Nth",-36.01152,150.16517,"2006","Ecklonia radiata",34
"812300242","Batemans","BMP-S24","Bingi Bingi Point Nth",-36.01152,150.16517,"2006","Ecklonia radiata",22.8
"812300243","Batemans","BMP-S24","Bingi Bingi Point Nth",-36.01152,150.16517,"2006","Ecklonia radiata",43.6
"812300244","Batemans","BMP-S24","Bingi Bingi Point Nth",-36.01152,150.16517,"2006","Ecklonia radiata",21.6
"812300251","Batemans","BMP-S25","Bingi Bingi Point",-36.01291,150.16603,"2006","Ecklonia radiata",28.8
"812300252","Batemans","BMP-S25","Bingi Bingi Point",-36.01291,150.16603,"2006","Ecklonia radiata",8
"812300253","Batemans","BMP-S25","Bingi Bingi Point",-36.01291,150.16603,"2006","Ecklonia radiata",3.2
"812300254","Batemans","BMP-S25","Bingi Bingi Point",-36.01291,150.16603,"2006","Ecklonia radiata",0
"812300261","Batemans","BMP-S26","Mullimburra Point",-35.99157,150.15918,"2006","Ecklonia radiata",4
"812300262","Batemans","BMP-S26","Mullimburra Point",-35.99157,150.15918,"2006","Ecklonia radiata",0
"812300263","Batemans","BMP-S26","Mullimburra Point",-35.99157,150.15918,"2006","Ecklonia radiata",0
"812300264","Batemans","BMP-S26","Mullimburra Point",-35.99157,150.15918,"2006","Ecklonia radiata",0
"812300271","Batemans","BMP-S27","Flat Rock South",-35.68546,150.30408,"2006","Ecklonia radiata",0
"812300272","Batemans","BMP-S27","Flat Rock South",-35.68546,150.30408,"2006","Ecklonia radiata",0
"812300273","Batemans","BMP-S27","Flat Rock South",-35.68546,150.30408,"2006","Ecklonia radiata",0
"812300274","Batemans","BMP-S27","Flat Rock South",-35.68546,150.30408,"2006","Ecklonia radiata",0
"812300281","Batemans","BMP-S28","Richmond Point",-35.69019,150.29786,"2006","Ecklonia radiata",0
"812300282","Batemans","BMP-S28","Richmond Point",-35.69019,150.29786,"2006","Ecklonia radiata",0
"812300283","Batemans","BMP-S28","Richmond Point",-35.69019,150.29786,"2006","Ecklonia radiata",0
"812300284","Batemans","BMP-S28","Richmond Point",-35.69019,150.29786,"2006","Ecklonia radiata",0
"812300291","Batemans","BMP-S29","Wasp Island",-35.66796,150.31036,"2006","Ecklonia radiata",0
"812300292","Batemans","BMP-S29","Wasp Island",-35.66796,150.31036,"2006","Ecklonia radiata",0
"812300293","Batemans","BMP-S29","Wasp Island",-35.66796,150.31036,"2006","Ecklonia radiata",0
"812300294","Batemans","BMP-S29","Wasp Island",-35.66796,150.31036,"2006","Ecklonia radiata",0
"812300301","Batemans","BMP-S30","Montague Is East",-36.2485,150.22827,"2006","Ecklonia radiata",0
"812300302","Batemans","BMP-S30","Montague Is East",-36.2485,150.22827,"2006","Ecklonia radiata",0
"812300303","Batemans","BMP-S30","Montague Is East",-36.2485,150.22827,"2006","Ecklonia radiata",0
"812300304","Batemans","BMP-S30","Montague Is East",-36.2485,150.22827,"2006","Ecklonia radiata",0
"812300311","Batemans","BMP-S30","Montague Is East",-36.2485,150.22827,"2006","Ecklonia radiata",0
"812300312","Batemans","BMP-S30","Montague Is East",-36.2485,150.22827,"2006","Ecklonia radiata",0
"812300313","Batemans","BMP-S30","Montague Is East",-36.2485,150.22827,"2006","Ecklonia radiata",0
"812300314","Batemans","BMP-S30","Montague Is East",-36.2485,150.22827,"2006","Ecklonia radiata",0
"812300321","Batemans","BMP-S31","Montague Island South West",-36.25803,150.22185,"2006","Ecklonia radiata",0
"812300322","Batemans","BMP-S31","Montague Island South West",-36.25803,150.22185,"2006","Ecklonia radiata",0
"812300323","Batemans","BMP-S31","Montague Island South West",-36.25803,150.22185,"2006","Ecklonia radiata",0
"812300324","Batemans","BMP-S31","Montague Island South West",-36.25803,150.22185,"2006","Ecklonia radiata",0
"812300331","Batemans","BMP-S32","Bogola Point",-36.26515,150.15226,"2006","Ecklonia radiata",8.4
"812300332","Batemans","BMP-S32","Bogola Point",-36.26515,150.15226,"2006","Ecklonia radiata",29.2
"812300333","Batemans","BMP-S32","Bogola Point",-36.26515,150.15226,"2006","Ecklonia radiata",4
"812300334","Batemans","BMP-S32","Bogola Point",-36.26515,150.15226,"2006","Ecklonia radiata",0
"812300341","Batemans","BMP-S33","Bogola North",-36.26173,150.15152,"2006","Ecklonia radiata",0
"812300342","Batemans","BMP-S33","Bogola North",-36.26173,150.15152,"2006","Ecklonia radiata",10
"812300343","Batemans","BMP-S33","Bogola North",-36.26173,150.15152,"2006","Ecklonia radiata",0
"812300344","Batemans","BMP-S33","Bogola North",-36.26173,150.15152,"2006","Ecklonia radiata",0
"812300351","Batemans","BMP-S34","Brush Island South",-35.53337,150.41589,"2006","Ecklonia radiata",0.8
"812300352","Batemans","BMP-S34","Brush Island South",-35.53337,150.41589,"2006","Ecklonia radiata",24
"812300353","Batemans","BMP-S34","Brush Island South",-35.53337,150.41589,"2006","Ecklonia radiata",61.6
"812300354","Batemans","BMP-S34","Brush Island South",-35.53337,150.41589,"2006","Ecklonia radiata",41.6
"812300361","Batemans","BMP-S35","Brush Island South West",-35.53292,150.41296,"2006","Ecklonia radiata",44.8
"812300362","Batemans","BMP-S35","Brush Island South West",-35.53292,150.41296,"2006","Ecklonia radiata",51.2
"812300363","Batemans","BMP-S35","Brush Island South West",-35.53292,150.41296,"2006","Ecklonia radiata",30.8
"812300364","Batemans","BMP-S35","Brush Island South West",-35.53292,150.41296,"2006","Ecklonia radiata",78.4
"812318801","Batemans","BMP-S1","Brush Island Mid North",-35.52617,150.41713,"2007","Ecklonia radiata",0
"812318802","Batemans","BMP-S1","Brush Island Mid North",-35.52617,150.41713,"2007","Ecklonia radiata",0
"812318803","Batemans","BMP-S1","Brush Island Mid North",-35.52617,150.41713,"2007","Ecklonia radiata",0
"812318804","Batemans","BMP-S1","Brush Island Mid North",-35.52617,150.41713,"2007","Ecklonia radiata",0
"812318811","Batemans","BMP-S3","Belowla Island South West",-35.55425,150.38896,"2007","Ecklonia radiata",0
"812318812","Batemans","BMP-S3","Belowla Island South West",-35.55425,150.38896,"2007","Ecklonia radiata",0
"812318813","Batemans","BMP-S3","Belowla Island South West",-35.55425,150.38896,"2007","Ecklonia radiata",0
"812318814","Batemans","BMP-S3","Belowla Island South West",-35.55425,150.38896,"2007","Ecklonia radiata",0
"812318821","Batemans","BMP-S5","Durras Mountain",-35.59893,150.34279,"2007","Ecklonia radiata",0
"812318822","Batemans","BMP-S5","Durras Mountain",-35.59893,150.34279,"2007","Ecklonia radiata",4.4
"812318823","Batemans","BMP-S5","Durras Mountain",-35.59893,150.34279,"2007","Ecklonia radiata",0
"812318824","Batemans","BMP-S5","Durras Mountain",-35.59893,150.34279,"2007","Ecklonia radiata",0
"812318831","Batemans","BMP-S6","Kiola Gulch",-35.60594,150.33823,"2007","Ecklonia radiata",0
"812318832","Batemans","BMP-S6","Kiola Gulch",-35.60594,150.33823,"2007","Ecklonia radiata",0
"812318833","Batemans","BMP-S6","Kiola Gulch",-35.60594,150.33823,"2007","Ecklonia radiata",0
"812318834","Batemans","BMP-S6","Kiola Gulch",-35.60594,150.33823,"2007","Ecklonia radiata",0
"812318841","Batemans","BMP-S10","Shark Gutter NE Tollgates",-35.75012,150.26204,"2007","Ecklonia radiata",0
"812318842","Batemans","BMP-S10","Shark Gutter NE Tollgates",-35.75012,150.26204,"2007","Ecklonia radiata",0
"812318843","Batemans","BMP-S10","Shark Gutter NE Tollgates",-35.75012,150.26204,"2007","Ecklonia radiata",0
"812318844","Batemans","BMP-S10","Shark Gutter NE Tollgates",-35.75012,150.26204,"2007","Ecklonia radiata",0
"812318851","Batemans","BMP-S11","Tollgates Outer Mid Bay",-35.75073,150.25915,"2007","Ecklonia radiata",44
"812318852","Batemans","BMP-S11","Tollgates Outer Mid Bay",-35.75073,150.25915,"2007","Ecklonia radiata",32
"812318853","Batemans","BMP-S11","Tollgates Outer Mid Bay",-35.75073,150.25915,"2007","Ecklonia radiata",44
"812318854","Batemans","BMP-S11","Tollgates Outer Mid Bay",-35.75073,150.25915,"2007","Ecklonia radiata",19.6
"812318861","Batemans","BMP-S13","Broulee North",-35.85507,150.19207,"2007","Ecklonia radiata",0
"812318862","Batemans","BMP-S13","Broulee North",-35.85507,150.19207,"2007","Ecklonia radiata",0
"812318863","Batemans","BMP-S13","Broulee North",-35.85507,150.19207,"2007","Ecklonia radiata",0
"812318864","Batemans","BMP-S13","Broulee North",-35.85507,150.19207,"2007","Ecklonia radiata",0
"812318871","Batemans","BMP-S15","Burrewarra Point",-35.83132,150.23347,"2007","Ecklonia radiata",0
"812318872","Batemans","BMP-S15","Burrewarra Point",-35.83132,150.23347,"2007","Ecklonia radiata",0
"812318873","Batemans","BMP-S15","Burrewarra Point",-35.83132,150.23347,"2007","Ecklonia radiata",0
"812318874","Batemans","BMP-S15","Burrewarra Point",-35.83132,150.23347,"2007","Ecklonia radiata",0
"812318881","Batemans","BMP-S16","Jimmies Island",-35.81672,150.2343,"2007","Ecklonia radiata",11.2
"812318882","Batemans","BMP-S16","Jimmies Island",-35.81672,150.2343,"2007","Ecklonia radiata",0
"812318883","Batemans","BMP-S16","Jimmies Island",-35.81672,150.2343,"2007","Ecklonia radiata",1.6
"812318884","Batemans","BMP-S16","Jimmies Island",-35.81672,150.2343,"2007","Ecklonia radiata",8.8
"812318891","Batemans","BMP-S18","Yellow Rock",-35.72811,150.2645,"2007","Ecklonia radiata",0
"812318892","Batemans","BMP-S18","Yellow Rock",-35.72811,150.2645,"2007","Ecklonia radiata",0
"812318893","Batemans","BMP-S18","Yellow Rock",-35.72811,150.2645,"2007","Ecklonia radiata",0
"812318894","Batemans","BMP-S18","Yellow Rock",-35.72811,150.2645,"2007","Ecklonia radiata",0
"812318901","Batemans","BMP-S19","North Head",-35.72235,150.27454,"2007","Ecklonia radiata",0
"812318902","Batemans","BMP-S19","North Head",-35.72235,150.27454,"2007","Ecklonia radiata",0
"812318903","Batemans","BMP-S19","North Head",-35.72235,150.27454,"2007","Ecklonia radiata",0
"812318904","Batemans","BMP-S19","North Head",-35.72235,150.27454,"2007","Ecklonia radiata",0
"812318911","Batemans","BMP-S20","Acron Ledge",-35.7203,150.24789,"2007","Ecklonia radiata",10.8
"812318912","Batemans","BMP-S20","Acron Ledge",-35.7203,150.24789,"2007","Ecklonia radiata",0.8
"812318913","Batemans","BMP-S20","Acron Ledge",-35.7203,150.24789,"2007","Ecklonia radiata",0
"812318914","Batemans","BMP-S20","Acron Ledge",-35.7203,150.24789,"2007","Ecklonia radiata",1.6
"812318921","Batemans","BMP-S21","Pretty Point North",-35.80019,150.2369,"2007","Ecklonia radiata",0
"812318922","Batemans","BMP-S21","Pretty Point North",-35.80019,150.2369,"2007","Ecklonia radiata",0
"812318923","Batemans","BMP-S21","Pretty Point North",-35.80019,150.2369,"2007","Ecklonia radiata",0
"812318924","Batemans","BMP-S21","Pretty Point North",-35.80019,150.2369,"2007","Ecklonia radiata",0
"812318931","Batemans","BMP-S22","Garden Point",-35.78389,150.23465,"2007","Ecklonia radiata",20
"812318932","Batemans","BMP-S22","Garden Point",-35.78389,150.23465,"2007","Ecklonia radiata",0.8
"812318933","Batemans","BMP-S22","Garden Point",-35.78389,150.23465,"2007","Ecklonia radiata",36.8
"812318934","Batemans","BMP-S22","Garden Point",-35.78389,150.23465,"2007","Ecklonia radiata",0
"812318941","Batemans","BMP-S23","Lilly Pilly North",-35.77133,150.23296,"2007","Ecklonia radiata",0
"812318942","Batemans","BMP-S23","Lilly Pilly North",-35.77133,150.23296,"2007","Ecklonia radiata",0
"812318943","Batemans","BMP-S23","Lilly Pilly North",-35.77133,150.23296,"2007","Ecklonia radiata",0
"812318944","Batemans","BMP-S23","Lilly Pilly North",-35.77133,150.23296,"2007","Ecklonia radiata",3.2
"812318951","Batemans","BMP-S24","Bingi Bingi Point Nth",-36.01152,150.16517,"2007","Ecklonia radiata",5.6
"812318952","Batemans","BMP-S24","Bingi Bingi Point Nth",-36.01152,150.16517,"2007","Ecklonia radiata",31.2
"812318953","Batemans","BMP-S24","Bingi Bingi Point Nth",-36.01152,150.16517,"2007","Ecklonia radiata",0.8
"812318954","Batemans","BMP-S24","Bingi Bingi Point Nth",-36.01152,150.16517,"2007","Ecklonia radiata",10.8
"812318961","Batemans","BMP-S25","Bingi Bingi Point",-36.01291,150.16603,"2007","Ecklonia radiata",1.6
"812318962","Batemans","BMP-S25","Bingi Bingi Point",-36.01291,150.16603,"2007","Ecklonia radiata",1.6
"812318963","Batemans","BMP-S25","Bingi Bingi Point",-36.01291,150.16603,"2007","Ecklonia radiata",15.2
"812318964","Batemans","BMP-S25","Bingi Bingi Point",-36.01291,150.16603,"2007","Ecklonia radiata",21.2
"812318971","Batemans","BMP-S26","Mullimburra Point",-35.99157,150.15918,"2007","Ecklonia radiata",0
"812318972","Batemans","BMP-S26","Mullimburra Point",-35.99157,150.15918,"2007","Ecklonia radiata",0
"812318973","Batemans","BMP-S26","Mullimburra Point",-35.99157,150.15918,"2007","Ecklonia radiata",0
"812318974","Batemans","BMP-S26","Mullimburra Point",-35.99157,150.15918,"2007","Ecklonia radiata",0
"812318981","Batemans","BMP-S34","Brush Island South",-35.53337,150.41589,"2007","Ecklonia radiata",3.2
"812318982","Batemans","BMP-S34","Brush Island South",-35.53337,150.41589,"2007","Ecklonia radiata",0
"812318983","Batemans","BMP-S34","Brush Island South",-35.53337,150.41589,"2007","Ecklonia radiata",0
"812318984","Batemans","BMP-S34","Brush Island South",-35.53337,150.41589,"2007","Ecklonia radiata",0
"812318991","Batemans","BMP-S35","Brush Island South West",-35.53292,150.41296,"2007","Ecklonia radiata",27.2
"812318992","Batemans","BMP-S35","Brush Island South West",-35.53292,150.41296,"2007","Ecklonia radiata",31.2
"812318993","Batemans","BMP-S35","Brush Island South West",-35.53292,150.41296,"2007","Ecklonia radiata",24
"812318994","Batemans","BMP-S35","Brush Island South West",-35.53292,150.41296,"2007","Ecklonia radiata",25.6
"812319001","Batemans","BMP-S36","Honeysuckle Bay",-35.71223,150.27862,"2007","Ecklonia radiata",0
"812319002","Batemans","BMP-S36","Honeysuckle Bay",-35.71223,150.27862,"2007","Ecklonia radiata",0
"812319003","Batemans","BMP-S36","Honeysuckle Bay",-35.71223,150.27862,"2007","Ecklonia radiata",0
"812319004","Batemans","BMP-S36","Honeysuckle Bay",-35.71223,150.27862,"2007","Ecklonia radiata",0
"812319011","Batemans","BMP-S37","Broulee Is South",-35.86214,150.18729,"2007","Ecklonia radiata",4.4
"812319012","Batemans","BMP-S37","Broulee Is South",-35.86214,150.18729,"2007","Ecklonia radiata",22.8
"812319013","Batemans","BMP-S37","Broulee Is South",-35.86214,150.18729,"2007","Ecklonia radiata",19.2
"812319014","Batemans","BMP-S37","Broulee Is South",-35.86214,150.18729,"2007","Ecklonia radiata",38.4
"812331111","Batemans","BMP-S28","Richmond Point",-35.69019,150.29786,"2017","Ecklonia radiata",0
"812331112","Batemans","BMP-S28","Richmond Point",-35.69019,150.29786,"2017","Ecklonia radiata",0
"812331113","Batemans","BMP-S28","Richmond Point",-35.69019,150.29786,"2017","Ecklonia radiata",0
"812331114","Batemans","BMP-S28","Richmond Point",-35.69019,150.29786,"2017","Ecklonia radiata",0
"812331121","Batemans","BMP-S29","Wasp Island",-35.66796,150.31036,"2017","Ecklonia radiata",4
"812331122","Batemans","BMP-S29","Wasp Island",-35.66796,150.31036,"2017","Ecklonia radiata",4.4
"812331123","Batemans","BMP-S29","Wasp Island",-35.66796,150.31036,"2017","Ecklonia radiata",6.4
"812331124","Batemans","BMP-S29","Wasp Island",-35.66796,150.31036,"2017","Ecklonia radiata",0
"812331131","Batemans","BMP-S27","Flat Rock South",-35.68546,150.30408,"2017","Ecklonia radiata",0
"812331132","Batemans","BMP-S27","Flat Rock South",-35.68546,150.30408,"2017","Ecklonia radiata",0
"812331133","Batemans","BMP-S27","Flat Rock South",-35.68546,150.30408,"2017","Ecklonia radiata",0
"812331134","Batemans","BMP-S27","Flat Rock South",-35.68546,150.30408,"2017","Ecklonia radiata",0
"812331141","Batemans","BMP-S36","Honeysuckle Bay",-35.71223,150.27862,"2017","Ecklonia radiata",0
"812331142","Batemans","BMP-S36","Honeysuckle Bay",-35.71223,150.27862,"2017","Ecklonia radiata",0
"812331143","Batemans","BMP-S36","Honeysuckle Bay",-35.71223,150.27862,"2017","Ecklonia radiata",0
"812331144","Batemans","BMP-S36","Honeysuckle Bay",-35.71223,150.27862,"2017","Ecklonia radiata",0
"812331151","Batemans","BMP-S1","Brush Island Mid North",-35.52617,150.41713,"2017","Ecklonia radiata",0
"812331152","Batemans","BMP-S1","Brush Island Mid North",-35.52617,150.41713,"2017","Ecklonia radiata",0
"812331153","Batemans","BMP-S1","Brush Island Mid North",-35.52617,150.41713,"2017","Ecklonia radiata",0
"812331154","Batemans","BMP-S1","Brush Island Mid North",-35.52617,150.41713,"2017","Ecklonia radiata",0
"812331161","Batemans","BMP-S34","Brush Island South",-35.53337,150.41589,"2017","Ecklonia radiata",0
"812331162","Batemans","BMP-S34","Brush Island South",-35.53337,150.41589,"2017","Ecklonia radiata",26
"812331163","Batemans","BMP-S34","Brush Island South",-35.53337,150.41589,"2017","Ecklonia radiata",29.2
"812331164","Batemans","BMP-S34","Brush Island South",-35.53337,150.41589,"2017","Ecklonia radiata",27.2
"812331171","Batemans","BMP-S19","North Head",-35.72235,150.27454,"2017","Ecklonia radiata",2
